statement,label
"Phillips ' Sound Recording Services: The studio was founded in 1926 by Phillips , who had been a professional musician and had played in the Liverpool Philharmonic Orchestra .",1
Phillips ' Sound Recording Services: He had been a member of the Liverpool String Quartet and had played in the Liverpool String Quartet.,1
Phillips ' Sound Recording Services: He had also been a member of the Liverpool String Quartet.,1
"Best Day Ever: It aired on Nickelodeon in the United States on March 11, 2006.",1
"Best Day Ever: The episode begins with SpongeBob and Patrick playing a game of ""Best Day Ever"" in which they try to outdo each other with the best day they can imagine.",1
"Best Day Ever: SpongeBob wins the game, and Patrick is upset.",1
"Best Day Ever: SpongeBob then goes to work at the Krusty Krab, where he is given a new job as a fry cook.",0
Delaware Route 18: It runs 11.2 miles (18.0 km) from the Maryland state line at the Delaware–Maryland state line in the north to U.S.Route 13 ( US 13 ) in the south.,1
"Delaware Route 18: The route runs through the southern portion of Sussex County, passing through the communities of Greenwood, Millsboro, and Georgetown.",1
The Left Hand of Darkness: It won both the Hugo Award and the Nebula Award for Best Novel in 1970.,0
"The Left Hand of Darkness: The novel is set in the fictional Ekumen universe, and is the story of Genly Ai, an envoy from the Ekumen, who is sent to the planet Gethen to persuade the inhabitants to join the Ekumen.",0
"The Left Hand of Darkness: Gethen is a world where the inhabitants are neither male nor female, but change sex every few days.",0
"Assaf dynasty: The Assaf dynasty was founded by Sheikh Assaf, a Turkmen chieftain who was a descendant of the Turkmen leader, Sheikh Bedr Khan.",1
"Zachary Taylor: Before his presidency , Taylor was a career officer in the United States Army , rising to the rank of major general .",0
"Zachary Taylor: As president, Taylor was faced with challenges from the United Kingdom and the Republic of Texas over the annexation of Texas , as well as the status of slavery in the newly acquired territories of the Mexican Cession .",0
"Zachary Taylor: He died of acute gastroenteritis , one month after taking office, becoming the first U.S. president to die in office.",1
"Prussian uprisings: The Prussian uprisings were two major and three smaller uprisings by the Prussians , one of the Baltic tribes , against the Teutonic Knights that took place in the 13th century during the Prussian Crusade .",0
"Prussian uprisings: The Prussian uprisings were two major and three smaller uprisings by the Prussians , one of the Baltic tribes , against the Teutonic Knights that took place in the 13th century during the Prussian Crusade .",0
