statement,label
Phillips ' Sound Recording Services: It was a recording studio and a music publishing company.,1
Phillips ' Sound Recording Services: The studio was opened in the early 1920s and closed in the late 1960s.,1
"Phillips ' Sound Recording Services: It was located at 38 Kensington, Kensington, Liverpool, England.",0
Phillips ' Sound Recording Services: It was a recording studio and a music publishing company.,1
"Best Day Ever: It originally aired on Nickelodeon in the United States on May 5, 2007.",1
Best Day Ever: The episode was written by series creator Stephen Hillenburg and directed by series regular Tom Kenny.,1
"Best Day Ever: The episode features the return of the character Mr.Krabs, who was absent from the previous episode, ""The Krabby Patty Secret"".",1
"Best Day Ever: The episode begins with SpongeBob and Patrick in the Krusty Krab, where SpongeBob is working as a fry cook.",0
"Polish legislative election , 1957: The results were a victory for the Polish United Workers' Party (PZPR), which won a majority of seats in the Sejm and the Senate.",0
"Polish legislative election , 1957: The elections were the first in which the PZPR was the only legal party.",1
"Polish legislative election , 1957: The elections were held in the aftermath of the 1956 Polish legislative election, which had been won by the PZPR.",0
"Polish legislative election , 1957: The PZPR had been in power since the 1952 Polish legislative election, and had been in a coalition with the Polish People's Party (PSL) since the 1954 Polish legislative election.",1
Delaware Route 18: It runs from the Pennsylvania state line in the south to the Maryland state line in the north.,1
The Left Hand of Darkness: It is the first book in the Earthsea series.,1
The Left Hand of Darkness: The Left Hand of Darkness is a science fiction novel by Ursula K.,0
"The Left Hand of Darkness: Le Guin, published in 1969.",0
"Assaf dynasty: The dynasty was founded by the Assaf ibn al-Husayn ibn Ali ibn Abi Talib, a grandson of the Islamic prophet Muhammad.",1
Assaf dynasty: The dynasty ruled the region from the 13th to the 18th century.,1
"Assaf dynasty: They were the first to rule the region of Mount Lebanon, and the first to rule the region of Keserwan.",1
Zachary Taylor: He was the first U.S. President to die in office.,1
"Zachary Taylor: Taylor was born in Virginia, the son of a wealthy planter.",0
"Zachary Taylor: He was educated at the College of New Jersey (now Princeton University) and the College of William & Mary, where he graduated in 1805.",1
"Zachary Taylor: He studied law, was admitted to the bar in 1808, and began a practice in Virginia.",1
Hurricane Joyce ( 2000 ): Hurricane Joyce was a long-lived and intense tropical cyclone that caused significant damage in the ABC and Windward Islands during late September and early October 2000.,1
Hurricane Joyce ( 2000 ): Joyce was the first hurricane to make landfall in the ABC since Hurricane Georges in 1998.,1
"Evolution of lemurs: The earliest lemur fossils are from the late Miocene, and the oldest lemur fossils are from the early Pliocene.",1
"Evolution of lemurs: The earliest lemur fossils are from the late Miocene, and the oldest lemur fossils are from the early Pliocene.",1
"Rita Bennett: She is the first victim of Dexter's first kill, and the first person he kills after he becomes a serial killer.",1
"Rita Bennett: She was the only child of a single mother, who worked as a waitress at a local diner.",1
"William Sterndale Bennett: He was born in London, the son of a music publisher.",1
William Sterndale Bennett: He was educated at the Royal Academy of Music and the Royal College of Music.,0
"William Sterndale Bennett: He was a pupil of John Broadwood, and was a pupil of Franz Liszt in Paris.",1
William Sterndale Bennett: He was a pupil of Franz Liszt in Paris.,1
"Suillus bovinus: It is a saprobic species, and is found in decaying wood.
lable: 1

It is edible, and is considered a delicacy in some countries.",1
Todo a Su Tiempo ( Marc Anthony album ): It was his first album to be released after his departure from Sony Music Latin.,1
"Todo a Su Tiempo ( Marc Anthony album ): The album was produced by Anthony and his longtime collaborator, the Puerto Rican producer Sergio George.",0
"Todo a Su Tiempo ( Marc Anthony album ): The album was a commercial success, peaking at number one on the Billboard Latin Pop Albums chart and number two on the Billboard Latin Albums chart.",1
Todo a Su Tiempo ( Marc Anthony album ): It was certified platinum by the Recording Industry Association of America (RIAA) for shipments of one million copies in the United States.,1
"I Never Met the Dead Man: It originally aired on Fox in the United States on September 28, 1999.",1
I Never Met the Dead Man: The episode was written by Seth MacFarlane and directed by Mark Hentemann.,1
"I Never Met the Dead Man: The episode features the first appearance of the character of Peter Griffin, voiced by MacFarlane.",1
I Never Met the Dead Man: Peter is a widower who has recently lost his wife Lois.,1
"Brian the Bachelor: It first aired on Fox in the United States on November 19, 2001.",1
Brian the Bachelor: Brian is a bachelor who is looking for a wife.,1
"Brian the Bachelor: He is also very smart, and he is a very good student.",0
"How to Grow a Woman from the Ground: It was released on June 6, 2006.",1
How to Grow a Woman from the Ground: The album is a concept album about the process of growing a woman from the ground.,0
How to Grow a Woman from the Ground: The album is a concept album about the process of growing a woman from the ground.,0
"How to Grow a Woman from the Ground: The album was recorded in the fall of 2005 at the Bear Creek Studio in Woodstock, New York.",1
Borley Rectory: It was built in 1856 by the architect William Butterfield.,1
"Borley Rectory: It is located in the village of Borley, Essex, England.",0
Borley Rectory: The house was built in 1856 by the architect William Butterfield.,1
"Two Dozen and One Greyhounds: It first aired on the Fox network in the United States on April 4, 1995.",1
Two Dozen and One Greyhounds: The episode was written by Al Jean and Mike Reiss and directed by Mark Kirkland.,1
Two Dozen and One Greyhounds: It was the first episode of the show to be directed by Mark Kirkland.,1
"Feminism: Feminism is a range of political movements, ideologies, and social movements that share a common goal : to define, establish, and achieve political, economic, personal, and social rights for women that are equal to those of men.",0
"Feminism: Feminism is a range of political movements, ideologies, and social movements that share a common goal : to define, establish, and achieve political, economic, personal, and social rights for women that are equal to those of men.",0
"Sandown Castle , Isle of Wight: The castle was built on the site of a previous fortification, which was built by Edward III in 1337.",1
"Sandown Castle , Isle of Wight: It was the first of a series of Device Forts built by Henry VIII to protect the Solent and the Isle of Wight from invasion by the French.",1
Anaphylaxis: It is a medical emergency.,0
"Anaphylaxis: Anaphylaxis is a severe, potentially fatal, allergic reaction that can occur in response to a wide variety of allergens.",0
"Anaphylaxis: It is characterized by a sudden onset of symptoms that can include hives, itching, swelling of the lips, tongue, and throat, difficulty breathing, and low blood pressure.",0
"Anaphylaxis: Anaphylaxis can be triggered by insect stings, food, medications, or latex.",0
"Snake Pass: The Snake Pass is a steep, narrow, and winding road, which is often closed to traffic.",0
"Plastic Brit: The term is used to describe athletes who have dual nationality, or who have been born in another country.",0
"Plastic Brit: The term is used to describe athletes who have dual nationality, or who have been born in another country.",0
"Traffic ( 2000 film ): The film stars Ben Affleck, Jennifer Lopez, Dennis Quaid, and John Goodman.",1
"Traffic ( 2000 film ): The film was released on December 13, 2000, by Miramax Films.",1
Traffic ( 2000 film ): The film is about a man who is a drug dealer and a hitman.,1
Traffic ( 2000 film ): He is also a father who is trying to protect his daughter from the drug dealers.,0
