statement,label
"Phillips ' Sound Recording Services: It was the first studio in the world to be equipped with a recording console, and the first to use a microphone.",1
"Phillips ' Sound Recording Services: The studio was founded in 1924 by Percy Francis Phillips, a former music hall singer, and his wife, Mabel.",1
"Phillips ' Sound Recording Services: The studio was located in the house of Percy and Mabel Phillips at 38 Kensington, Kensington, Liverpool, England.",0
"Phillips ' Sound Recording Services: It was the first studio in the world to be equipped with a recording console, and the first to use a microphone.",1
"Best Day Ever: It originally aired on Nickelodeon in the United States on May 19, 2010.",1
Best Day Ever: The episode begins with SpongeBob and Patrick trying to get a job at the Krusty Krab.,0
"Best Day Ever: SpongeBob is rejected by Mr.Krabs, who tells him that he is too short and Patrick is too fat.",0
"Best Day Ever: SpongeBob and Patrick then go to the Krusty Krab's rival, the Chum Bucket, where they are hired by Mr.Krabs' son, Squidward.",0
"Polish legislative election , 1957: The ruling Polish United Workers' Party (PZPR) won a landslide victory, winning a majority of seats in the Sejm.",0
"Polish legislative election , 1957: The PZPR won a majority of seats in the Sejm, the lower house of the Polish parliament, with a total of 4,868,857 votes (51.6%).",1
"Polish legislative election , 1957: The PZPR won a majority of seats in the Senate, the upper house of the Polish parliament, with a total of 1,868,857 votes (51.6%).",1
"The Left Hand of Darkness: The Left Hand of Darkness is a science fiction novel by Ursula K.Le Guin, published in 1969.",0
Assaf dynasty: The Assaf ruled the Keserwan region from the 9th century until the early 13th century.,1
Assaf dynasty: The Assaf were the first Muslim dynasty to rule the Keserwan region.,1
Assaf dynasty: The Assaf were the first Muslim dynasty to rule the Keserwan region.,1
Zachary Taylor: He was the first president to be born in the United States.,1
"Zachary Taylor: Taylor was born in Virginia, the son of a planter.",0
Zachary Taylor: He was a lawyer and a member of the Virginia House of Delegates before being elected to the U.S. House of Representatives in 1825.,1
"Zachary Taylor: He was elected to the U.S. Senate in 1833, and served until 1841.",1
"Prussian uprisings: The Prussian uprisings were two major and three smaller uprisings by the Prussians, one of the Baltic tribes, against the Teutonic Knights that took place in the 13th century during the Prussian Crusade.",0
Hurricane Joyce ( 2000 ): It was a Category 1 hurricane on the Saffir-Simpson Hurricane Scale.,0
"Evolution of lemurs: The first lemurs evolved from the prosimians about 40 million years ago.
lable: 1

The first lemurs were small, carnivorous primates that lived in the trees.
lable: 1

They were the first primates to evolve from the common ancestor of all primates.",1
Rita Bennett: She is the wife of Dexter Morgan and the mother of his son Harrison.,0
Rita Bennett: She is a former Miami police officer who was fired for falsifying a report.,1
"William Sterndale Bennett: He was the first British composer to write a symphony, and the first to write a concerto for piano and orchestra.",1
William Sterndale Bennett: He was also the first British composer to write a piano concerto.,1
"William Sterndale Bennett: Bennett was born in London, the son of a music teacher.",1
"William Sterndale Bennett: He studied at the Royal Academy of Music, where he was taught by Joseph Haydn and Franz Liszt.",1
"Todo a Su Tiempo ( Marc Anthony album ): The album was produced by Anthony and his longtime collaborator, producer and songwriter, Emilio Estefan.",0
"Todo a Su Tiempo ( Marc Anthony album ): The album was a commercial success, peaking at number one on the Billboard 200 and selling over 2.5 million copies in the United States.",1
"Todo a Su Tiempo ( Marc Anthony album ): The album spawned two singles, ""Todo a Su Tiempo"" and ""El Amor Es Una Cosa"", which both reached the top ten on the Billboard Hot 100.",1
Todo a Su Tiempo ( Marc Anthony album ): The album was certified platinum by the Recording Industry Association of America (RIAA) for shipments of over one million copies in the United States.,1
"I Never Met the Dead Man: It originally aired on the Fox network in the United States on November 17, 1999.",1
I Never Met the Dead Man: The episode was written by series creator Seth MacFarlane and directed by series creator Seth MacFarlane.,1
I Never Met the Dead Man: It was the first episode of the series to be directed by MacFarlane.,1
"Brian the Bachelor: It originally aired on Fox in the United States on February 17, 2005.",1
Brian the Bachelor: Brian the Bachelor is the seventh episode from the fourth season of Family Guy.,0
