statement,label
"Phillips ' Sound Recording Services: The studio was established in the 1920s and became a prominent recording facility in the city, known for its high-quality recordings and innovative techniques.",1
Phillips ' Sound Recording Services: Percy Phillips was a musician and engineer who had a passion for recording music.,1
"Phillips ' Sound Recording Services: He had a small studio in his home, where he recorded local musicians and bands.",0
"Best Day Ever: The episode was first broadcast on February 27, 2003, and was written by Stephen Hillenburg and Derek Drymon.",1
"Best Day Ever: In the episode, SpongeBob and Patrick have a wild and exciting day at the beach, while Sandy is stuck inside taking care of a sick jellyfish.",1
"Best Day Ever: The episode is known for its fast-paced and comedic plot, as well as its memorable moments, such as SpongeBob and Patrick's ""Best Day Ever"" song.",0
"Polish legislative election , 1957: The PUWP candidate , Władysław Gomułka , won the election and became the new Prime Minister of Poland .",0
Delaware Route 18: It runs for approximately 14.5 miles (23.3 km) from the Maryland border near the town of Seaford to the Delaware Bay near the town of Frankford .,1
"The Left Hand of Darkness: The novel is set on the planet Gethen, where the inhabitants, known as the Gethenians, are genderless and do not experience sexual desire.",0
"The Left Hand of Darkness: The story follows a human diplomat, Genly Ai, as he attempts to persuade the Gethenians to join the intergalactic community.",0
"The Left Hand of Darkness: Throughout the novel, Le Guin explores themes of gender, sexuality, and cultural exchange, challenging the assumptions of both the human and Gethenian cultures.",0
"Assaf dynasty: The Assafs were a powerful and influential family in Lebanon during the Ottoman Empire era, and they played a significant role in the country's political and social landscape.",0
"Assaf dynasty: They were also prominent in the religious and cultural life of the region, and many of them were notable scholars, poets, and religious leaders.",0
"Assaf dynasty: The Assaf dynasty was founded by Assaf ibn Ali, who lived in the 16th century.",1
"Prussian uprisings: The second uprising took place in 1274 and was led by the Prussian chieftain , Skalmantas .",0
Prussian uprisings: The Prussian uprisings were a response to the increasing influence and control of the Teutonic Knights over the Prussian territories .,0
"Hurricane Joyce ( 2000 ): The storm formed in the Atlantic Ocean and moved westward, passing near the Lesser Antilles before reaching the Caribbean Sea.
According to the passage, Hurricane Joyce caused:
A.Major impact in the Caribbean and the southeastern United States
B.Minor impact in the ABC and Windward islands
C.Significant impact in the Gulf of Mexico
D.No impact in the Caribbean or the southeastern United States
The answer is (B) Minor impact in the ABC and Windward islands.",0
Rita Bennett: Rita is Dexter's girlfriend and a television news anchorwoman.,1
Rita Bennett: Rita is a complex and multi-dimensional character who is both supportive and critical of Dexter's actions.,0
Rita Bennett: She is aware of his secret life as a serial killer and often struggles with her own moral values as a result.,0
"William Sterndale Bennett: He was born in London , England and studied music at the Royal Academy of Music .",1
"William Sterndale Bennett: Bennett was known for his compositions in various genres , including symphonies , piano music and choral works .",0
"William Sterndale Bennett: He was also a skilled pianist and conductor , and served as the music director of the Leeds Festival from 1865 to 1870 .",1
William Sterndale Bennett: Bennett was a prominent figure in the musical scene of his time and was praised for his innovative and expressive compositions .,0
Christopher Greenup: He served as the first Chief Justice of the Kentucky Supreme Court and was a member of the United States Senate from Kentucky.,1
"Christopher Greenup: Greenup was born in 1760 in Stafford County, Virginia, and studied law at the College of William and Mary.",1
Christopher Greenup: He moved to Kentucky in 1783 and established a law practice in Lexington.,1
"Todo a Su Tiempo ( Marc Anthony album ): The album was produced by Tommy Mottola and featured a blend of salsa , merengue , and pop music .",1
"Todo a Su Tiempo ( Marc Anthony album ): It included the hit singles "" I Need to Know "" and "" You Sang to Me "" , both of which reached the top of the Billboard Hot Latin Tracks chart .",0
"Todo a Su Tiempo ( Marc Anthony album ): The album was a commercial success , reaching the top 10 on the US Billboard Top Latin Albums chart and being certified double platinum by the RIAA .",1
"I Never Met the Dead Man: The episode originally aired on January 15, 1999, and was written and produced by Seth MacFarlane.",1
"I Never Met the Dead Man: In the episode, Peter Griffin is convinced that he has seen a dead man walking around town, and he becomes obsessed with finding out who it is .",1
"April 23 , 1998 Albanian – Yugoslav border ambush: The KLA fighters were attempting to cross the Albanian-Yugoslav border when they were surprised by the VJ patrol.",0
"April 23 , 1998 Albanian – Yugoslav border ambush: The VJ suffered no casualties.",0
"April 23 , 1998 Albanian – Yugoslav border ambush: The attack was seen as a significant escalation of violence in the region and raised concerns about the potential for wider conflict.",0
"Brian the Bachelor: In this episode, Brian, the show's resident cynic and alcoholic, becomes a bachelor and hosts his own dating show.",1
"Brian the Bachelor: Meanwhile, Stewie and Peter try to sabotage the show by planting a fake contestant on it.",1
How to Grow a Woman from the Ground: The album is a unique and imaginative work that explores the idea of growing a woman from the ground.,0
"How to Grow a Woman from the Ground: The album features Thile's signature mandolin playing and innovative compositions, which are accompanied by a range of instruments and sounds.",0
"Borley Rectory: However, it was also notorious for its alleged paranormal activity, which included unexplained noises, moving objects, and ghostly apparitions.",0
"Feminism: Feminism seeks to address gender-based discrimination and inequality , and to challenge the social , cultural , and political structures that perpetuate gender-based discrimination .",0
"Feminism: Feminist movements have been instrumental in advancing women's rights and gender equality in various areas , including education , employment , and political representation .",0
"Feminism: Feminist activism has also been influential in shaping policies and laws that promote gender equality , such as equal pay for equal work , reproductive rights , and protection from gender-based violence .",0
"Sandown Castle , Isle of Wight: The castle was constructed during the English Reformation and was one of several Device Forts built along the southern coast of England to defend against potential French invasion .",0
"Sandown Castle , Isle of Wight: Here are some key points about Sandown Castle:
* Sandown Castle was built in 1545 by Henry VIII to protect against the threat of French attack .",0
"Sandown Castle , Isle of Wight: * The castle was constructed during the English Reformation .",0
"Sandown Castle , Isle of Wight: * Sandown Castle was one of several Device Forts built along the southern coast of England to defend against potential French invasion .",0
Anaphylaxis: It is a severe and potentially life-threatening allergic reaction that can occur within minutes of exposure to a specific allergen.,0
"Anaphylaxis: Anaphylaxis can cause a range of symptoms, including difficulty breathing, rapid heartbeat, and a drop in blood pressure.",0
"Anaphylaxis: If left untreated, anaphylaxis can lead to unconsciousness, coma, and even death.",0
"Anaphylaxis: The symptoms of anaphylaxis can vary in severity, but may include:
* Difficulty breathing or swallowing
* Rapid heartbeat or palpit",0
"Snake Pass: The pass is located at an elevation of approximately 1,000 feet (300 meters) above sea level and is known for its scenic views of the surrounding countryside.",1
Snake Pass: The pass was also an important military route during the English Civil War in the 17th century.,1
"Plastic Brit: This term is often used to imply that the athlete is not truly committed to representing Great Britain, and is instead motivated by personal gain or a desire to represent a country other than their own.",0
"Plastic Brit: The term ""Plastic Brit"" is often used in the context of athletes who were born or raised in another country, but choose to compete for Great Britain in international competitions.",0
"Plastic Brit: These athletes may have a parent or other family member who is a citizen of Great Britain, or they may have lived in the country for a significant period of time.",0
