statement,label
"Phillips ' Sound Recording Services: Phillips'Sound Recording Services was a studio in the house of Percy Francis Phillips ( 1896 – 1984 ) and his family at 38 Kensington, Kensington, Liverpool, England.",0
Phillips ' Sound Recording Services: The studio was used by The Beatles to record their first demo tape in 1962.,1
"Phillips ' Sound Recording Services: The Beatles were introduced to Phillips by his son, Peter, who was a friend of John Lennon.",1
"Phillips ' Sound Recording Services: The Beatles recorded ""My Bonnie"" and ""The Saints"" at the studio.",1
"Best Day Ever: It is the first episode of the series to be written by Aaron Springer, who would later become a writer and storyboard artist for the show.",1
"Polish legislative election , 1957: The result was a victory for the Polish United Workers' Party (PZPR), which won 323 out of 460 seats in the Sejm and 100 out of 100 seats in the Senate.",1
"Polish legislative election , 1957: The turnout was 96.7%.",1
"The Left Hand of Darkness: It is set on the fictional planet Gethen, also known as Winter, which is inhabited by a race of androgynous humans.",0
"The Left Hand of Darkness: The novel explores themes of gender, sexuality, and cultural relativism.",0
"Assaf dynasty: He was a member of the Banu Assaf tribe, which was one of the largest and most powerful Turkmen tribes in the Keserwan region.",0
Zachary Taylor: He was a career military officer and national hero of the Mexican-American War.,0
"Zachary Taylor: Taylor was born in Barboursville, Virginia, and was raised in Kentucky.",0
Zachary Taylor: Taylor was a slave owner and a member of the Whig Party.,0
"Prussian uprisings: The Prussian uprisings were two major and three smaller uprisings by the Prussians, one of the Baltic tribes, against the Teutonic Knights that took place in the 13th century during the Prussian Crusade.",0
Prussian uprisings: The uprising was successful and the Teutonic Knights were expelled from Prussia.,1
Hurricane Joyce ( 2000 ): Hurricane Joyce was a tropical cyclone that formed in the Atlantic Ocean in September 2000.,0
Hurricane Joyce ( 2000 ): The wave moved westward and became a tropical depression on September 20.,1
"Evolution of lemurs: The earliest known living lemurs are represented by the subfossil species Archaeoindris fontoynontii, which lived in the Miocene epoch.",1
"Rita Bennett: Rita is a single mother of two children, Cody and Astor, who is murdered by the Trinity Killer in the third season of the Showtime television series Dexter.",1
Rita Bennett: She is portrayed by Julie Benz in the television series.,0
"Rita Bennett: She was married to Paul Bennett, a police officer, but they divorced after he became abusive.",1
William Sterndale Bennett: He was the son of the composer and organist William Sterndale Bennett (1779–1845) and the brother of the composer and organist George Sterndale Bennett (1819–1874).,1
"William Sterndale Bennett: He was born in Derby, England.",1
"William Sterndale Bennett: He was educated at the Royal Academy of Music in London, where he studied piano with John Bland and composition with John Cramer.",1
"William Sterndale Bennett: He was appointed professor of music at the Royal Academy in 1847, a post he held until 1867.",1
"Suillus bovinus: It is a mycorrhizal fungus that forms a symbiotic relationship with trees, particularly oaks.",1
"Todo a Su Tiempo ( Marc Anthony album ): The album was a commercial success, selling over 1 million copies in the United States and earning a platinum certification from the Recording Industry Association of America ( RIAA ).",1
"April 23 , 1998 Albanian – Yugoslav border ambush: The KLA fighters were returning from a mission to attack a Serbian police station in the nearby town of Dečani.",0
"April 23 , 1998 Albanian – Yugoslav border ambush: The ambush resulted in the deaths of 12 KLA fighters and the capture of 15 others.",1
"April 23 , 1998 Albanian – Yugoslav border ambush: The incident was widely reported in the international media and was seen as a major escalation in the Kosovo War.",0
"April 23 , 1998 Albanian – Yugoslav border ambush: The KLA fighters were returning from a mission to attack a Serbian police station in the nearby town of Dečani.",0
"Brian the Bachelor: It originally aired on November 14, 2005.",1
Brian the Bachelor: The episode was written by Tom Devanney and directed by Julius Wu.,1
Brian the Bachelor: The episode features Brian Griffin as the bachelor in a parody of the ABC reality show The Bachelor.,0
"Brian the Bachelor: The episode was the first to feature the character of Jillian, who would later become Brian's girlfriend.",1
"How to Grow a Woman from the Ground: How to Grow a Woman from the Ground is a 2006 album by Chris Thile and the How to Grow a Band, credited to Chris Thile.",0
"How to Grow a Woman from the Ground: The album was recorded in Nashville, Tennessee, and produced by Brad Jones.",1
How to Grow a Woman from the Ground: It was released on Nonesuch Records.,1
"How to Grow a Woman from the Ground: The album features a variety of musical styles, including bluegrass, jazz, and classical.",0
"Borley Rectory: Borley Rectory was a Victorian mansion that gained fame as ""the most haunted house in England"" after being described as such by Harry Price.",0
"Borley Rectory: It was located in the village of Borley, Suffolk, England.",1
"Borley Rectory: The rectory was built in 1863 and was the home of the Reverend Henry Bull, the rector of the parish.",1
"Borley Rectory: The rectory was demolished in 1944, but the site is still a popular tourist attraction.",0
Two Dozen and One Greyhounds: The episode was written by John Swartzwelder and directed by Mark Kirkland.,1
"Two Dozen and One Greyhounds: It features the return of the character of Sideshow Bob, who was last seen in the episode ""Black Widower"".",1
Two Dozen and One Greyhounds: The episode is a parody of the 1941 film The Maltese Falcon.,1
Feminism: Feminism has taken many forms and has been characterized by different ideologies and movements.,0
"Feminism: Some of the most notable forms of feminism include liberal feminism, radical feminism, Marxist feminism, and postmodern feminism.",0
"Feminism: Liberal feminism focuses on the equality of women with men in the political and economic spheres, while radical feminism emphasizes the need to dismantle patriarchy and gender roles.",0
"Feminism: Marxist feminism argues that women's oppression is rooted in capitalism and class society, and that women's liberation can only be achieved through a socialist revolution.",0
"Sandown Castle , Isle of Wight: It was built on the site of an earlier castle, which had been destroyed by the French in 1544.",1
"Sandown Castle , Isle of Wight: It was never attacked, and was abandoned in the 17th century.",0
"Anaphylaxis: It is characterized by the release of chemicals from cells in the body, particularly mast cells and basophils, which can cause a range of symptoms including hives, itching, swelling, abdominal pain, nausea, vomiting, diarrhea, lightheadedness, fainting, and in severe cases, anaphylactic shock.",0
"Anaphylaxis: Anaphylaxis can be caused by a variety of triggers, including foods, medications, insect stings, and latex.",0
Anaphylaxis: Treatment typically involves the administration of epinephrine and other medications to reverse the symptoms and prevent further complications.,0
"Snake Pass: The pass is named after the River Ashop, which flows through it.",1
"Snake Pass: The pass is also the site of the Snake Inn, a pub which dates back to the 18th century.",0
"Plastic Brit: The term has been used to describe athletes in a variety of sports, including athletics, basketball, cricket, football, and rugby.",0
"Plastic Brit: The term has been criticized as being xenophobic and discriminatory, and has been used to suggest that athletes who choose to represent Great Britain are somehow less patriotic or less deserving of their place on the team.",0
"Traffic ( 2000 film ): The film follows the interconnected stories of drug trafficking in the United States, Mexico, and the United Kingdom.",1
"Traffic ( 2000 film ): The film was nominated for several awards, including the Academy Award for Best Picture, and won four, including Best Supporting Actor for Benicio del Toro.",1
"Super Rich Kids: The song was written by Ocean and Malay, and produced by Malay.",0
"Super Rich Kids: It was released on August 1, by Def Jam Recordings.",1
Super Rich Kids: The song was inspired by Ocean's experiences in the music industry and the lifestyles of the rich and famous.,0
"Super Rich Kids: The song's lyrics describe the lifestyles of the rich and famous, and the negative effects of their wealth.",0
Bricker Amendment: The amendments were intended to limit the power of the federal government and to strengthen the power of the states.,0
"Bricker Amendment: The most famous of these amendments was the Bricker Amendment, which was introduced by Senator John W. Bricker of Ohio in 1953.",0
Bricker Amendment: The amendment was not ratified by the required number of states.,0
"Kristen Bell: She is known for her roles in the television series Veronica Mars ( 2004–2007 ) and The Good Place ( 2016–2020 ), and the film Frozen ( 2013 ).",0
"Kristen Bell: Bell has also appeared in films such as Forgetting Sarah Marshall ( 2008 ), When in Rome ( 2010 ), and Frozen II ( 2019 ).",0
"Kristen Bell: She has also provided voice work for films such as Frozen ( 2013 ), Frozen II ( 2019 ), and Moana ( 2016 ).",1
Gliese 876 b: Gliese 876 b is a gas giant planet with a mass of 3.8 Jupiter masses and a radius of 1.5 Jupiter radii.,1
"Aubrey Gibson: He was born in Sydney, the son of Sir William Gibson, a prominent businessman and politician.",1
"Aubrey Gibson: He was educated at Sydney Grammar School and the University of Sydney, where he graduated with a Bachelor of Arts degree in 1922.",1
Aubrey Gibson: He was a member of the Sydney University Union and the Sydney University Dramatic Society.,1
Aubrey Gibson: He was also a member of the Sydney University Rugby Club and the Sydney University Cricket Club.,1
