statement,label
"The Beatles were a British rock band that consisted of John Lennon, Paul McCartney, George Harrison, and Ringo Starr.",1
"The movie 'The Shawshank Redemption' is a drama film about two prisoners who form an unlikely friendship.",1
"The chemical symbol 'H' represents hydrogen.",0
"The novel 'To Kill a Mockingbird' was written by Harper Lee.",1
"The famous painting 'The Starry Night' was created by Vincent van Gogh.",1
"The country of Japan is located in East Asia.",1
"The famous musician Elvis Presley was born in Tupelo, Mississippi.",1
"The chemical element 'O' represents oxygen.",0
"The famous novel 'Pride and Prejudice' was written by Jane Austen.",1
"The famous painting 'The Scream' was created by Edvard Munch.",1
"The country of Australia is located in the Southern Hemisphere.",1
"The famous musician Michael Jackson was born in Gary, Indiana.",1
"The chemical symbol 'C' represents carbon.",0
"The famous novel 'The Great Gatsby' was written by F. Scott Fitzgerald.",1
"The famous painting 'The Mona Lisa' was created by Leonardo da Vinci.",1
"The country of Brazil is located in South America.",1
"The famous musician Bob Dylan was born in Duluth, Minnesota.",1
"The chemical element 'N' represents nitrogen.",0
"The famous novel '1984' was written by George Orwell.",1
"The famous painting 'The Night Watch' was created by Rembrandt van Rijn.",1
"The country of Canada is located in North America.",1
"The famous musician Elvis Presley was born in Memphis, Tennessee.",1
"The chemical symbol 'P' represents phosphorus.",0
"The famous novel 'The Catcher in the Rye' was written by J.D. Salinger.",1
"The famous painting 'The Last Supper' was created by Leonardo da Vinci.",1
"The country of Sweden is located in Northern Europe.",1
"The famous musician Michael Jackson was born in Gary, Indiana.",1
"The chemical element 'F' represents fluorine.",0
"The famous novel 'To Kill a Mockingbird' was written by Harper Lee.",1
"The famous painting 'The Scream' was created by Edvard Munch.",1
"The country of Australia is located in the Southern Hemisphere.",1
"The chemical symbol 'Ag' represents silver.",0
